130	9.74559E-06
227	2.76569E-05
248	4.96838E-05
271	7.3446E-05
297	9.82105E-05
303	0.000123364
308	0.000168379
310	0.000191235
313	0.000214239
315	0.000237287
318	0.000260528
321	0.000283956
326	0.000331578
331	0.000349943
335	0.000368437
345	0.000406357
350	0.000425737
360	0.000464947
371	0.000505364
376	0.000526045
395	0.000552534
420	0.000587358
435	0.000624131
452	0.000669806
463	0.000700876
480	0.000748682
491	0.000827448
502	0.000908096
513	0.00099043
525	0.001074207
537	0.001159732
549	0.001247307
561	0.001336745
574	0.001427845
587	0.001521033
600	0.001616131
607	0.001644453
615	0.001673219
630	0.001731853
646	0.00179187
662	0.001852712
671	0.001883879
685	0.001935059
702	0.001994327
719	0.002054805
737	0.002117033
762	0.002175622
787	0.002235519
825	0.002295404
885	0.002367318
960	0.002435673
1063	0.002524957
1177	0.002607687
1303	0.002702592
1425	0.002806452
1559	0.002935807
1624	0.003066531
1865	0.003190215
2862	0.003373976
4582	0.003674892
6387	0.004130588
10373	0.004751906
31946	0.00641932
36844	0.008932372
40382	0.012350547
42493	0.015384548
44531	0.01861088
45913	0.022233585
47435	0.026587101
48609	0.030785054
49408	0.033638544
50632	0.038022725
57684	0.041413398
69014	0.046640181
74266	0.051908633
77041	0.058333428
79595	0.065614016
81565	0.071250897
91238	0.076981508
104584	0.084907273
120373	0.093862535
141975	0.10432126
167112	0.115726194
197911	0.130309163
228718	0.147394527
273075	0.167390927
406302	0.191453927
832442	0.239076447
1660940	0.337329596
3430822	0.528677189
10000000	1
